index,localx,gap,realv,fid
595,752,56.5,7,462
595,759,56,5,463
595,764,57,6,464
595,770,58,6,465
595,776,59.5,6,466
595,782,60.5,7,467
595,789,59.5,7,468
595,796,57.5,4,469
595,800,62,6,470
595,806,62.5,7,471
595,813,60.5,7,472
595,820,62,6,473
595,826,61.5,4,474
595,830,65.5,6,475
595,836,66.5,6,476
595,842,69,6,477
595,848,69,4,478
595,852,73,7,479
602,626,65.5,5,390
602,631,67,6,391
602,637,69,4,392
602,641,74,7,393
602,648,76.5,5,394
602,653,74.5,5,395
602,658,77,4,396
602,662,81.5,6,397
602,668,84.5,5,398
602,673,89.5,5,399
602,678,86.5,6,400
602,684,87.5,5,401
602,689,90.5,6,402
602,695,93.5,4,403
602,699,95.5,5,404
602,704,98,5,405
602,709,98.5,5,406
627,304,184.5,5,403
627,309,187.5,6,404
627,315,185.5,6,405
627,321,188.5,7,406
627,328,187,6,407
627,334,188,7,408
627,341,187,6,409
627,347,187,7,410
627,354,184,7,411
627,361,183,6,412
627,367,183.5,7,413
627,374,182,7,414
627,381,183,6,415
627,387,181.5,6,416
627,393,183.5,7,417
627,400,183.5,6,418
627,406,183,7,419
627,413,182,6,420
627,419,182.5,7,421
627,426,181,6,422
627,432,178.5,6,423
627,438,179.5,7,424
627,445,178,7,425
627,452,178,7,426
627,459,177.5,3,427
627,456,177,8,428
627,464,178.5,8,429
635,311,123,9,412
635,320,121,8,413
635,328,120,10,414
635,338,119,7,415
635,345,116.5,9,416
635,354,117,9,417
635,363,116,8,418
635,371,114,9,419
635,380,111,8,420
635,388,109.5,9,421
635,397,107.5,9,422
635,406,107,8,423
635,414,103.5,9,424
635,423,101.5,9,425
635,432,100.5,9,426
635,441,99.5,15,427
646,223,45,6,422
646,229,43.5,6,423
646,235,44,7,424
646,242,45.5,6,425
646,248,46,8,426
646,256,45.5,5,427
646,261,46.5,6,428
646,267,47,7,429
646,274,46,6,430
646,280,46.5,3,431
646,283,48,6,432
646,289,45.5,5,433
646,294,49.5,7,434
646,301,49,9,435
646,310,49,7,436
646,317,48,6,437
646,323,49,6,438
646,329,49,5,439
646,334,46,8,440
646,342,47.5,4,441
646,346,47.5,7,442
646,353,46.5,6,443
646,359,48,3,444
646,362,49,3,445
656,282,496,6,473
656,288,495.5,6,474
656,294,495.5,6,475
656,300,495,6,476
656,306,494.5,7,477
656,313,496,5,478
656,318,493.5,8,479
656,326,492.5,5,480
656,331,492,7,481
656,338,491,7,482
656,345,490.5,5,483
656,350,491,8,484
656,358,488,7,485
656,365,486.5,6,486
656,371,486,8,487
656,379,484,5,488
656,384,482.5,7,489
656,391,481,6,490
656,397,481,7,491
656,404,478,7,492
656,411,476,6,493
656,417,475,8,494
656,425,472,5,495
656,430,471,7,496
656,437,468.5,6,497
656,443,467,7,498
656,450,465,5,499
656,455,465,7,500
656,462,461.5,7,501
656,469,460,6,502
671,560,73.5,8,441
671,568,72,9,442
671,577,70,8,443
671,585,68.5,8,444
671,593,67,9,445
671,602,64,7,446
671,609,63.5,9,447
671,618,61.5,9,448
671,627,58,9,449
671,636,56,8,450
671,644,54,8,451
671,652,52,8,452
671,660,50,8,453
671,668,48.5,8,454
671,676,46.5,7,455
671,683,45.5,8,456
671,691,43,7,457
671,720,39.5,8,461
687,200,131,9,454
687,209,128.5,7,455
687,216,126.5,7,456
687,223,125.5,7,457
687,230,126,9,458
687,239,122,9,459
687,248,120,5,460
687,253,118,4,461
687,257,116,4,462
687,261,125.5,4,463
687,265,128,0,464
700,669,99.5,6,464
700,675,99.5,6,465
700,681,100,6,466
700,687,100,6,467
700,693,100.5,7,468
700,700,99.5,5,469
700,705,100.5,6,470
700,711,101.5,7,471
700,718,100,5,472
700,723,101.5,6,473
700,729,101.5,6,474
700,735,102.5,6,475
700,741,101.5,6,476
700,747,100,6,477
700,753,98.5,7,478
700,760,97.5,5,479
700,765,96.5,6,480
700,771,95,6,481
700,777,93,6,482
700,783,91.5,6,483
700,789,91,6,484
700,795,89,6,485
700,801,87,5,486
700,806,87,7,487
700,813,85.5,7,488
700,820,84.5,7,489
700,827,82.5,2,490
701,669,62.5,6,464
701,675,63,6,465
701,681,63.5,6,466
701,687,65.5,6,467
701,693,66.5,7,468
701,700,65,5,469
701,705,66,6,470
701,711,67,7,471
701,718,65.5,5,472
701,723,68.5,6,473
701,729,69.5,6,474
701,735,69.5,6,475
701,741,69.5,6,476
701,747,69.5,6,477
701,753,67.5,7,478
701,760,66.5,5,479
701,765,66,6,480
701,771,65,6,481
701,777,64,6,482
701,783,63,6,483
701,789,65.5,6,484
701,795,61.5,6,485
701,801,61,5,486
701,806,62,7,487
701,813,60,7,488
701,820,61.5,7,489
701,827,61.5,0,490
711,13,113.5,2,479
711,15,119,4,480
711,19,117,8,481
711,27,113.5,4,482
711,31,114.5,8,483
711,39,115.5,5,484
711,44,113.5,7,485
711,51,113.5,8,486
711,59,112,5,487
711,64,112.5,6,488
711,70,107.5,7,489
711,77,106,6,490
711,83,112.5,6,491
711,89,112,6,492
711,95,111,7,493
711,102,111,6,494
711,108,106.5,6,495
711,114,109.5,7,496
711,121,111.5,6,497
711,127,111,6,498
711,133,114,7,499
711,140,109.5,6,500
711,146,109.5,6,501
711,152,110,6,502
711,158,109,6,503
711,164,109,6,504
711,170,109,6,505
711,176,110,6,506
711,182,111,6,507
711,188,111,7,508
711,195,111,5,509
711,200,111,6,510
711,206,111,6,511
711,212,112.5,6,512
711,218,110.5,6,513
711,224,112.5,5,514
711,229,111,6,515
711,235,113,6,516
711,241,114,9.5,517
742,11,60.5,3,499
742,14,59.5,3,500
742,17,59.5,3,501
742,20,59.5,3,502
742,23,60,4,503
742,27,61,5,504
742,32,60,8,505
742,40,59.5,7,506
742,47,59.5,3,507
742,50,60.5,6,508
742,56,60.5,8,509
742,64,61,4,510
742,68,61.5,6,511
742,74,61.5,8,512
742,82,61,3,513
742,85,64.5,5,514
742,90,62,6,515
742,96,62,6,516
742,102,63,6,517
742,119,63,6,520
751,782,69.5,3,506
751,785,69,6,507
751,791,70.5,6,508
751,797,70,6,509
751,803,70.5,6,510
751,809,72,6,511
751,815,71.5,6,512
751,821,71.5,6,513
751,827,71.5,5,514
751,832,72,6,515
751,838,72.5,6,516
751,844,72.5,6,517
751,850,72.5,6,518
758,321,55.5,2,513
758,319,58,3,514
758,322,60,5,515
758,327,60,5,516
758,332,62,4,517
758,336,65.5,5,518
758,341,70.5,5,519
758,346,66.5,5,520
758,351,68,5,521
758,356,69,5,522
758,361,69.5,6,523
758,367,73,4,524
758,371,75,8,525
771,14,125.5,3,529
771,17,129.5,5,530
771,22,125.5,7,531
771,29,123,7,532
771,36,121,7,533
771,43,117,5,534
771,48,120.5,9,535
771,57,116,9,536
771,66,113,6,537
771,72,114,5,538
771,77,111,7,539
771,84,111.5,6,540
